RollNumber	Course Code	Marks (200)	Grade	Grade Points
8b8e462a2dc3d39764de51e58ab779ca40c7f62656e67ae03c7b2140039bcbd88354a37ded1f0e7c046ca16a8092484fba4d7ba2b099aebb420905b29449e163	CSE228	149	B+	7
2996dd47e3ed0915a076565fad45be17fdbf1de1536d7d724f10286fed33f36c344797350d5e9ce21a615cc83894aaa876e4b7bbd3bb8e9108ada10c6a590bd2	CSE228	170	A+	9
9e44078cf428b2b0aa3a7408ac43672dc05a5544a2302117af401a1879cf1bf51108b8d7319e77e79abe40f780c7b887c6a9ccb8c50523ab17c89d6c0ea79fa8	CSE228	137	B+	7
dc9a72ff0518bf9d4f8c71da73c414a37c16ead1e171b6abb6f066b882929d91b539f54cbef5555577482c37fff9c26b159a597288b05c349bc1dd1c5a006b7b	CSE228	151	B+	7
96ab1e8e079114851c34559eae0441fe89deb2ba2cedaea628f108e6c7e8622477b04e6457052a91ee76e67c02652d5ae7829af59bf42ebb452a8be912721e1d	CSE228	143	B+	7
c7fa97c79d9be685740682e6cf8798d50c2e958a58b818015694f4eb194d63c026ac9eeb805fa1f6340eb60f8667446702b231024520cf4926b85cfecb5abec5	CSE228	181	O	10
f9f204d069253ac48dd7969bc1cc31e9ab753156fc424c220b470c57e490bebd23ee91efaad5d3faa39bda471bed55e85e56a544a82c0becdc2d4612417f7f23	CSE228	143	B+	7
19bd27fc2a2a10b7a0cbaa6ca31b10697c3fa7abc2947a5dd8ed789d15f21dbd8b6aec0d4d89b9940333d1e1081cd1171de98d9d463ee233af5b4f2950cec017	CSE228	163	A	8
21a30f1a1d5c35ccc0476e35a108556d47548edf96824a03540e1b607b023e8ce1dfc2b6b80a0323d27d23c5bd60a7c5732d2b283eb5c447ad822fa780a14a9a	CSE228	130	B	6
252f8a296013aeb324326c1ac553dda72fac0997f63d1f28d0b3d6072d8a3d558ab4dc260c9a5502fbce7c525589e4da540d3ffe2a709e4e53df4bf90db4cf8f	CSE228	162	A	8
5a501e60926439ef26cbf8f8d7bf91312fb66463e89eb674695f44d0fbb46248354ac5f6e85e0d49f06f8cb6540eb9ae847ad2d2afa25bdccdf333c984847aa0	CSE228	141	B+	7
a9db6aea9c237b5b143cb2b921edeb72e20ede15ae186c16a0e3d73bec40c1d84c9d20ff218d7937da9c43b7a85f298ee179fcfe142bbdf7c36992b1e50fb3d6	CSE228	147	B+	7
ca8b5cda6410c16a8d29316b200a65056874c0b02ae64b5e8002e3f0c1d1a9936804bbbd12629e31939c3dc6883ff7a8742d72a2ce83f254e7d22d6046b2bfe7	CSE228	149	B+	7
825b81b7b3f45384b0199b4d8d1502ff0e2710865d41d1d4db843b525fe3dd7c40e67a376428a64b684753b691f9dbf57faa6d16f40e9275f3a78c9d0c20360b	CSE228	175	A+	9
e8b22744ec2e8c4e8540d708f7cd93ece053403fcf2faef376b95718a067ab22c2229c90bc3334dc33a9191311e84befb6c9a728674236cf1e8e0205ec2a622c	CSE228	112	C	5
